기간,순위,브랜드,참여지수,미디어지수,소통지수,커뮤니티지수,브랜드평판지수
1901,1,염정아,1372024,3513112,2794528,2282605,9962269
1901,2,현빈,2894066,2788296,1695680,2233463,9611504
1901,3,송혜교,1746374,2978220,3207168,1676911,9608673
1901,4,박보검,1933351,2855088,2242528,2345178,9376145
1901,5,유이,831162,3082884,3204288,1530746,8649080
1901,6,조보아,2515939,2667168,1573632,1220962,7977702
1901,7,박신혜,1368447,1819272,1589760,994066,5771545
1901,8,왕석현,4339409,648564,93312,191923,5273209
1901,9,장나라,1096824,2176776,1098720,833389,5205709
1901,10,유승호,1992166,1283016,1048896,673954,4998033
1901,11,오나라,2518324,978432,981504,439018,4917278
1901,12,여진구,1235318,1949220,714240,874833,4773611
1901,13,김유정,852820,1177176,1792224,569103,4391323
1901,14,김서형,987738,1869252,765792,756581,4379363
1901,15,윤세아,1847910,1278312,650592,515761,4292575
1901,16,이시영,586761,2290848,638496,683825,4199930
1901,17,신성록,1036221,1890420,513216,649441,4089298
1901,18,김선아,787846,1918644,707040,651860,4065389
1901,19,찬열,533112,1337888,1179872,985242,4036114
1901,20,최진혁,1154844,1641108,483552,624928,3904432
1901,21,정준호,703597,1650516,868896,672908,3895917
1901,22,이태리,561129,974292,1370309,930688,3836418
1901,23,양세종,1326919,889056,986112,276772,3478859
1901,24,유연석,572653,1279488,1053216,567599,3472956
1901,25,전소민,1224389,1304184,492768,414962,3436304
1901,26,이설,803742,1405320,731808,446666,3387536
1901,27,이세영,794403,1654044,487584,432285,3368316
1901,28,고현정,1041784,1131312,517536,628261,3318894
1901,29,이태란,587556,1390032,672768,590609,3240965
1901,30,김진우,264271,1758708,591840,518115,3132934
1901,31,김병철,732011,1431192,504000,416727,3083930
1901,32,전혜빈,706180,1550556,246528,358876,2862140
1901,33,이엘리야,1114310,1179528,256608,248402,2798848
1901,34,최수종,720685,1220100,338688,514193,2793665
1901,35,조재윤,1079338,1136604,304416,262522,2782880
1901,36,정유미,518011,971964,953280,310764,2754019
1901,37,용준형,328849,1682268,420480,287624,2719220
1901,38,소이현,606432,1166592,629856,279256,2682137
1901,39,이수경,308581,1397676,562176,361621,2630054
1901,40,김재원,257515,1501164,389088,330506,2478273
1901,41,유준상,167504,1438248,259488,525109,2390349
1901,42,오승아,1360896,669144,112896,235459,2378395
1901,43,손호준,412303,1082508,388512,397901,2281224
1901,44,최지우,682932,729120,516672,288473,2217197
1901,45,이민정,398990,920220,519264,345344,2183818
1901,46,신하균,251952,1154832,362592,366066,2135442
1901,47,이장우,526555,953736,311328,326061,2117680
1901,48,소유진,578416,762048,516096,233106,2089666
1901,49,김동영,71433,432768,1368864,172640,2045704
1901,50,윤진이,781686,747936,275328,218398,2023348
1906,1,임수정,1556218,2117976,1120320,1259268,6053783
1906,2,정해인,1832610,1753416,1073088,735336,5394450
1906,3,한지민,1309234,1509824,1173888,964127,4957074
1906,4,이엘리야,3272916,1166592,209376,288408,4937292
1906,5,김민규,727043,1790460,1439424,463939,4420866
1906,6,장기용,1980840,1275960,746784,397247,4400832
1906,7,이정재,655511,2161488,724896,719843,4261739
1906,8,박보영,1556417,1459416,607104,542040,4164977
1906,9,김지원,824406,1671684,930528,718667,4145285
1906,10,신민아,1035823,1548204,762912,618129,3965068
1906,11,김명수,366005,2088576,775584,679576,3909742
1906,12,전혜진,1007210,1710492,506592,602964,3827258
1906,13,이다희,763207,1263612,770400,1015769,3812988
1906,14,장동건,439326,1820448,809856,621855,3691485
1906,15,김하늘,439326,1430016,859680,708273,3437295
1906,16,신혜선,940248,1426488,506592,549688,3423016
1906,17,노민우,2420563,680316,143136,171659,3415674
1906,18,고원희,778605,1675212,315360,625908,3395085
1906,19,오창석,1263335,1371804,249984,372734,3257857
1906,20,김소연,453036,1175412,817920,810379,3256747
1906,21,김옥빈,1061654,1222452,368928,564527,3217561
1906,22,조정석,229101,1893360,339840,678269,3140570
1906,23,김동준,630078,1489404,605376,392018,3116876
1906,24,이진욱,1250817,1214220,315936,317497,3098470
1906,25,정유미,451645,1390032,634752,526024,3002453
1906,26,이시언,359051,1442952,591264,410190,2803457
1906,27,송중기,1282091,439941,382665,587536,2692233
1906,28,신성록,474496,1538208,288576,362406,2663685
1906,29,김영광,371768,930804,468864,839142,2610578
1906,30,감우성,380312,1284780,441504,427448,2534044
1906,31,홍종현,426410,1425312,249120,413001,2513844
1906,32,안효섭,909251,1090152,222336,289585,2511324
1906,33,이용우,1594965,444528,192384,249971,2481848
1906,34,여진구,378722,1241856,334368,493863,2448809
1906,35,조안,571859,693840,659232,423853,2348783
1906,36,박병은,977008,1002540,169056,199049,2347653
1906,37,이채영,134520,1456476,265536,336193,2192725
1906,38,이하나,274206,1073688,539136,276446,2163476
1906,39,김보미,437736,866712,344448,485496,2134392
1906,40,정재영,129234,1350636,305568,307300,2092738
1906,41,유지태,116637,696192,892224,316582,2021635
1906,42,최성원,47430,1097796,231552,599891,1976669
1906,43,주현,52596,431004,1143936,337566,1965101
1906,44,박진우,78665,760284,777600,330571,1947120
1906,45,진기주,508275,829668,184608,301743,1824294
1906,46,이준혁,379318,861420,289728,281348,1811814
1906,47,정진영,69982,943740,477216,315732,1806670
1906,48,김영민,160152,933156,412416,283636,1789360
1906,49,하재숙,143620,1169532,140832,193688,1647673
1906,50,김준한,357461,921984,167040,198918,1645403
1908,1,여진구,1857448,1455015,1740384,926148,5978995
1908,2,이지은,245593,1853096,1447488,1184748,4730925
1908,3,차은우,813279,1744008,1151424,832343,4541055
1908,4,옹성우,852948,947456,1283552,1223904,4307860
1908,5,임지연,1249823,1383752,388512,1182133,4204220
1908,6,지성,840501,1276124,1641120,433644,4191389
1908,7,정경호,644384,1821624,442080,1161346,4069434
1908,8,이지훈,746516,1467060,1242720,567076,4023372
1908,9,이설,1389708,1109944,754272,616168,3870092
1908,10,강한나,1765705,1364160,253440,399339,3782645
1908,11,오창석,1034234,1624056,243360,574267,3475916
1908,12,신세경,552187,1564080,675648,589367,3381282
1908,13,김소연,469329,1344756,903168,604010,3321263
1908,14,한지은,819559,1411788,280224,691146,3202718
1908,15,천우희,563116,1574076,418752,566488,3122432
1908,16,지진희,249170,1755768,356544,735532,3097014
1908,17,이세영,733203,1327116,436608,427971,2924898
1908,18,김향기,785262,1273020,444096,385873,2888252
1908,19,김현주,265066,1118964,768384,476736,2629150
1908,20,손현주,544872,1194656,330624,552659,2622811
1908,21,박하선,1033041,1037820,240480,289519,2600861
1908,22,최유화,410117,1237740,199584,675981,2523422
1908,23,정지훈,220358,1295592,479808,501119,2496877
1908,24,이상우,183400,657384,1119168,427252,2387204
1908,25,서강준,532516,1083684,391392,363321,2370913
1908,26,안재홍,288115,1310064,361152,404373,2363704
1908,27,박성웅,286525,1380624,353952,293245,2314347
1908,28,이엘,149820,1152480,706176,292526,2301002
1908,29,이상엽,315138,1300656,321120,325995,2262909
1908,30,최진혁,295070,1034292,491616,288866,2109843
1908,31,이규형,472509,1083096,198720,343187,2097512
1908,32,박지현,132493,1016652,620064,315732,2084941
1908,33,이준혁,268642,1111908,264096,380709,2025355
1908,34,이준영,136249,1077216,311328,448301,1973093
1908,35,곽시양,95257,1441188,139680,295729,1971854
1908,36,신승호,457407,1026060,200160,243892,1927519
1908,37,정민아,1214653,451584,142560,109362,1918159
1908,38,한석규,190752,1036056,341280,347044,1915132
1908,39,배종옥,69883,1178352,152352,506871,1907458
1908,40,전여빈,384286,1023120,161280,313314,1881999
1908,41,박유나,565699,590940,472608,228857,1858104
1908,42,이영은,197905,842604,212256,489418,1742183
1908,43,이학주,168100,574476,328608,614403,1685587
1908,44,박지영,75248,756168,455040,396855,1683311
1908,45,조현철,598087,672672,225504,162507,1658770
1908,46,윤균상,339777,892584,208512,206893,1647766
1908,47,박진우,42919,850248,475488,276184,1644839
1908,48,박진희,107338,848484,260928,360379,1577129
1908,49,홍종현,380312,828492,171648,178653,1559105
1908,50,손병호,246587,856128,158688,194996,1456398
1912,1,공효진,1745580,2864736,955584,739781,6305680
1912,2,강하늘,2187488,2405508,684288,573155,5850440
1912,3,조여정,2654036,1431192,245664,486411,4817303
1912,4,오연서,1103580,1995084,197280,884050,4179994
1912,5,하지원,1162991,1406496,363456,393456,3326399
1912,6,설인아,1878907,611520,380736,127927,2999090
1912,7,장동윤,1480712,719712,200160,455949,2856533
1912,8,오정세,648756,1370628,225504,190224,2435111
1912,9,윤시윤,444095,1452948,243936,241277,2382255
1912,10,윤계상,337194,1357692,308448,352339,2355673
1912,11,정인선,1013966,1043700,133056,154794,2345516
1912,12,김지석,309773,1396500,228960,184602,2119835
1912,13,이지훈,704789,953736,135648,294161,2088333
1912,14,김선호,1008999,680904,143424,153552,1986878
1912,15,이정재,338982,1134840,220032,253697,1947551
1912,16,신민아,576627,899640,195552,206305,1878124
1912,17,전혜빈,1153113,352212,103968,174535,1783828
1912,18,차예련,619547,789096,135648,224020,1768310
1912,19,김슬기,203071,1243620,72576,246180,1765447
1912,20,김소현,654120,620928,130176,356588,1761812
1912,21,지이수,403361,1081332,174528,92105,1751326
1912,22,오나라,172869,1077804,148896,269451,1669020
1912,23,이엘리야,940845,514500,93888,116030,1665262
1912,24,문근영,465157,827904,173088,184341,1650489
1912,25,김강우,143461,1036644,149472,271543,1601120
1912,26,조윤희,353487,660912,380160,172640,1567199
1912,27,허정민,469131,830256,46368,195584,1541339
1912,28,김흥수,670414,629160,69408,170221,1539203
1912,29,최명길,653723,636804,79776,121325,1491628
1912,30,안재현,576846,561648,137952,214367,1490813
1912,31,박성훈,206847,936096,162432,161788,1467163
1912,32,김재영,478867,409248,380448,102433,1370996
1912,33,정웅인,72863,891996,135360,255593,1355812
1912,34,오민석,158980,544488,379008,176496,1258972
1912,35,정준호,566160,392784,59904,189505,1208353
1912,36,김동준,612592,378672,75744,85568,1152576
1912,37,김선아,360641,556836,86976,146557,1151010
1912,38,장승조,211814,649152,134208,128450,1123624
1912,39,예지원,752080,258132,35712,46804,1092728
1912,40,윤박,204979,367500,379296,115115,1066890
1912,41,유태오,684522,216972,65952,90928,1058374
1912,42,이유영,247978,526848,94752,116357,985934
1912,43,이민기,223935,544488,83520,114853,966796
1912,44,강태오,284737,425124,61920,143289,915070
1912,45,이동휘,136308,531552,77184,169633,914677
1912,46,김재영,478867,253428,26784,63931,823010
1912,47,김병철,78308,486864,68544,180484,814199
1912,48,서하준,173266,438060,65088,123221,799635
1912,49,심이영,108093,457464,71136,111323,748016
1912,50,박세완,266258,348096,55584,65108,735046
2001,1,현빈,4084477,2050356,1538784,1478843,9152460
2001,2,손혜진,2166227,2066820,1604160,1365755,7202962
2001,3,안효섭,3511029,1638756,323424,461963,5935172
2001,4,남궁민,2061513,1398852,664704,856138,4981206
2001,5,이성경,1212467,1660512,378432,724942,3976354
2001,6,박은빈,1789492,850836,340992,492686,3474006
2001,7,한석규,593517,1836912,379872,522952,3333253
2001,8,서현진,1205910,1051932,357408,357372,2972623
2001,9,조여정,607029,1299480,330912,434900,2672320
2001,10,김정현,1495615,635040,232416,298671,2661742
2001,11,주상욱,357859,1156596,130752,993609,2638816
2001,12,서지혜,1176503,706776,352224,385677,2621180
2001,13,오나라,1245253,889644,190944,258992,2584833
2001,14,박영규,1792473,124656,434592,173816,2525537
2001,15,하지원,831162,930216,309312,283832,2354522
2001,16,김보라,538278,1160124,151488,431915,2281805
2001,17,한다감,947799,976080,75456,199572,2198907
2001,18,안재현,782282,1007832,98496,259842,2148452
2001,19,설인아,1040592,498624,433440,156167,2128822
2001,20,차예련,1224389,649152,122400,130084,2126026
2001,21,윤계상,432371,940800,271296,271347,1915814
2001,22,김주헌,242613,1126020,139968,258534,1767135
2001,23,진세연,949786,498036,55008,258665,1761495
2001,24,옥택연,407732,945504,129312,253109,1735657
2001,25,오민석,168140,309876,433152,780245,1691413
2001,26,오연서,325272,995484,104832,223758,1649346
2001,27,이연희,281955,939624,130176,237943,1589698
2001,28,오정세,488007,549780,207072,341161,1586020
2001,29,이지훈,580800,666204,109728,183164,1539896
2001,30,신동욱,335604,845544,109728,122109,1412986
2001,31,이태환,153774,917868,68832,271804,1412278
2001,32,라미란,268841,753228,170496,176954,1369519
2001,33,김재영,428596,293412,433728,134660,1290396
2001,34,김강우,163788,778512,133920,211011,1287232
2001,35,심이영,658492,458052,50976,117076,1284596
2001,36,장승조,376537,620340,120960,131392,1249228
2001,37,이창훈,618752,379260,65952,75959,1139923
2001,38,설정환,380511,589764,63648,99557,1133479
2001,39,조병규,296659,483924,164448,182380,1127411
2001,40,정웅인,102648,710892,125568,187674,1126783
2001,41,하준,286128,593880,115200,124986,1120194
2001,42,조윤희,256124,180516,434592,222516,1093748
2001,43,이시언,477675,357504,27648,183425,1046252
2001,44,김민규,416674,391608,46368,178131,1032780
2001,45,박해미,390247,62916,433728,126424,1013314
2001,46,김슬기,138057,659736,63648,98576,960017
2001,47,최명길,240228,492744,63648,153421,950041
2001,48,최윤소,255528,453348,75168,81581,865625
2001,49,박세완,344148,289296,83808,92889,810142
2001,50,김미숙,168174,433944,44928,85110,732157
2002,1,현빈,4293765,2732436,2558880,1781175,11366256
2002,2,박서준,3275570,2566032,1886688,1013220,8741509
2002,3,김다미,4929777,1838088,1231488,734290,8733643
2002,4,손예진,2718869,1703036,2379904,1172800,7974609
2002,5,권나라,4924581,1613472,759168,599957,7897177
2002,6,김보라,4200717,772632,126720,224020,5324088
2002,7,안효섭,2607143,1428252,447840,467192,4950427
2002,8,서지혜,2322604,991956,853344,587275,4755179
2002,9,김정현,2281672,928452,411840,564200,4186164
2002,10,조병규,2878964,532728,186624,218594,3816910
2002,11,이성경,1527407,1234800,504000,377702,3643909
2002,12,남궁민,696642,1374156,573696,584203,3228697
2002,13,오민석,2869625,162288,54720,123547,3210181
2002,14,김혜수,1364473,834960,415584,467781,3082797
2002,15,한석규,654915,1407672,434016,484123,2980726
2002,16,유재영,549803,1509984,415584,370708,2846078
2002,17,박은빈,1102189,840840,314784,559166,2816979
2002,18,소주연,1470380,845544,222048,262064,2800036
2002,19,주지훈,948793,785568,329760,400124,2464244
2002,20,김주헌,707372,953736,189216,189243,2039567
2002,21,김동희,1007409,527436,287712,166887,1989444
2002,22,옥택연,170922,826140,143136,832213,1972410
2002,23,고수,297653,594468,247104,808811,1948035
2002,24,이연희,229697,837312,162432,579823,1809264
2002,25,이시언,1489855,205800,53568,54845,1804067
2002,26,신동욱,464561,793212,147744,108839,1514356
2002,27,서현진,840302,261072,198144,102891,1402409
2002,28,진세연,878850,363972,76896,80012,1399730
2002,29,오정세,343354,593880,205632,228988,1371853
2002,30,이성민,224531,580356,174240,315471,1294598
2002,31,진경,175830,824376,149184,132830,1282219
2002,32,유태오,476284,478044,146016,178392,1278736
2002,33,임주환,79083,762048,99360,314621,1255112
2002,34,심은경,168696,587412,192960,271347,1220415
2002,35,임원희,314542,665028,105696,72167,1157433
2002,36,변정수,632860,443940,36000,36607,1149406
2002,37,주상욱,167743,722064,93600,157147,1140554
2002,38,윤나무,169531,667380,95904,95177,1027992
2002,39,이선균,380312,309288,130464,96289,916352
2002,40,설인아,458401,249900,100512,98511,907324
2002,41,김민규,508672,266952,55296,60270,891190
2002,42,조보아,855404,2352,9504,20591,887851
2002,43,이대환,116279,619164,45216,102499,883158
2002,44,차예련,173286,480396,112896,102433,869011
2002,45,최명길,100502,535080,72000,120606,828188
2002,46,김홍파,72545,630336,55584,61970,820435
2002,47,최윤소,222941,382788,77472,86222,769423
2002,48,정유민,351302,306348,40896,55825,754371
2002,49,김흥수,115922,465108,46080,102368,729477
2002,50,정려원,230293,299292,101664,92170,723420
2005,1,김희애,1846320,2836512,2368224,1484203,8535260
2005,2,한소희,3425588,1861020,1224864,1835496,8346968
2005,3,박해준,2053962,2154432,730944,719124,5658462
2005,4,조정석,1621392,2217936,1028736,715268,5583332
2005,5,유연석,1746374,1786344,515520,766778,4815017
2005,6,이민호,1444748,1350048,1030176,952296,4777267
2005,7,전미도,1376310,1986264,651744,696964,4711283
2005,8,정경호,1223793,1654044,463104,295206,3636148
2005,9,김고은,800165,1197168,676224,744553,3418110
2005,10,박해진,436743,1842792,209088,734551,3223174
2005,11,육성재,1993756,632688,252576,213757,3092776
2005,12,김대명,697437,1639344,328320,305339,2970440
2005,13,장나라,774533,1073100,378720,263241,2489594
2005,14,유인영,1419712,663852,156960,163553,2404077
2005,15,박선영,692470,874944,403776,388357,2359547
2005,16,우도환,981975,582708,314496,223039,2102218
2005,17,한지은,947004,863184,118656,165122,2093966
2005,18,김영민,682733,867300,254304,283244,2087581
2005,19,황정음,977207,667968,248832,174470,2068476
2005,20,정소민,581396,1001364,205056,222778,2010594
2005,21,김응수,156774,1251264,166464,313640,1888143
2005,22,이보영,323086,1034880,313632,201925,1873523
2005,23,최강희,670613,717948,233568,250755,1872884
2005,24,유지태,282551,1047816,314208,184341,1828916
2005,25,이민정,547152,803796,216000,229445,1796393
2005,26,박하나,1137558,404544,105120,145511,1792733
2005,27,신하균,273213,1071924,173952,240885,1759973
2005,28,고준,490392,814380,166752,154402,1625925
2005,29,이상협,598484,678552,111456,165384,1553876
2005,30,전소니,428993,806148,147456,110278,1492875
2005,31,정은채,557950,514500,201024,218332,1491806
2005,32,이준영,943626,358680,78912,92955,1474173
2005,33,박기웅,130149,970200,87552,157735,1345636
2005,34,오윤아,705385,396900,131040,100603,1333928
2005,35,박시후,666837,458640,92736,109297,1327510
2005,36,장기용,386869,512736,133056,144596,1177257
2005,37,이수혁,313350,526848,110592,173032,1123822
2005,38,박병은,164722,704424,116640,136098,1121885
2005,39,진세연,329445,512736,133056,144596,1119833
2005,40,이선빈,273033,578004,91296,123351,1065684
2005,41,이초희,352262,428652,117504,163096,1061514
2005,42,태인호,229499,645624,52416,100015,1027553
2005,43,차태현,269040,529788,95904,125182,1019913
2005,44,김지영,348321,435708,110016,102368,996413
2005,45,정건주,148628,621516,103104,115638,988885
2005,46,천호진,422039,415716,66816,80469,985040
2005,47,박예진,102668,680904,67680,115049,966302
2005,48,박시연,177240,516264,78912,62101,834517
2005,49,차화연,195322,446292,74016,101845,817475
2005,50,고성희,224193,413952,60192,87987,786324
2008,1,김수현,1205712,1179020,868320,518412,3771464
2008,2,조승우,1108349,1151304,794144,362014,3415810
2008,3,이준기,1215845,1177764,567008,330179,3290796
2008,4,서예지,1250874,1094856,599072,307953,3252755
2008,5,문채원,1095831,1048992,472032,243042,2859896
2008,6,오정세,830963,667968,459360,152375,2110667
2008,7,이민정,860172,636216,287424,198656,1982469
2008,8,한다감,1311847,427476,101088,116226,1956637
2008,9,배두나,466349,771336,410400,304620,1952704
2008,10,신소율,1827047,28812,35424,13205,1904487
2008,11,임수향,574442,603288,175392,390384,1743505
2008,12,김유정,952965,442176,232704,84391,1712237
2008,13,오정세,830963,515088,116352,106094,1568497
2008,14,오윤아,767181,429240,203904,122567,1522892
2008,15,이상엽,630276,582120,163008,136033,1511437
2008,16,장승조,599875,588588,152064,149368,1489895
2008,17,송지효,639615,494508,157536,188786,1480445
2008,18,지창욱,708962,457464,162144,100668,1429238
2008,19,이준혁,366999,665616,222336,152179,1407130
2008,20,하석진,366999,549780,143136,342599,1402514
2008,21,박규영,733600,345744,206784,78900,1365029
2008,22,이정은,823612,323400,102816,62297,1312124
2008,23,김소은,354680,704424,149184,82626,1290914
2008,24,차화연,584178,406308,104256,85568,1180310
2008,25,이초희,244997,530376,223488,168325,1167186
2008,26,황정음,306594,548604,194976,111454,1161628
2008,27,지수,281342,562128,119296,154627,1117393
2008,28,최무성,139110,661500,154368,130738,1085716
2008,29,지현우,193136,681492,133920,72625,1081173
2008,30,송윤아,323086,480396,147744,101976,1053202
2008,31,김보연,410713,409248,107136,102368,1029465
2008,32,서현우,163391,591528,148320,103152,1006391
2008,33,나나,256919,473928,170208,90013,991068
2008,34,공자,386273,452172,107424,43209,989078
2008,35,장희진,266854,466284,156096,98642,987876
2008,36,이엘리야,400579,413364,86688,83084,983715
2008,37,손현주,111292,595056,138528,110212,955088
2008,38,손호준,266655,429240,114912,144204,955011
2008,39,천호진,326464,425124,110016,77005,938609
2008,40,윤현민,275200,422772,100512,71252,869736
2008,41,윤시윤,242215,449232,77184,70860,839491
2008,42,지승현,249965,438060,66816,84261,839101
2008,43,유준상,115325,463344,120384,97138,796192
2008,44,박성훈,191944,424536,92448,64585,773513
2008,45,배수빈,101158,436296,88416,109820,735690
2008,46,경수진,156774,439236,69984,36672,702666
2008,47,박하나,227313,330456,67680,75305,700754
2008,48,황승언,182804,271068,116640,82103,652615
2008,49,김주헌,275200,192864,139104,41640,648808
2008,50,오나라,158563,339276,73152,36933,607924
2009,1,박보검,2651055,2007432,1781856,1057997,7498341
2009,1,박보검,2651055,2007432,1781856,1057997,7498341
2009,2,박은빈,2819553,1094268,553536,264091,4731448
2009,2,박은빈,2819553,1094268,553536,264091,4731448
2009,3,김희선,1177496,1694028,715968,273896,3861388
2009,3,김희선,1177496,1694028,715968,273896,3861388
2009,4,김하늘,2504812,785568,281088,253828,3825296
2009,4,김하늘,2504812,785568,281088,253828,3825296
2009,5,박소담,1017344,1435308,893952,465623,3812227
2009,5,박소담,1017344,1435308,893952,465623,3812227
2009,6,이준기,1635698,1108968,768096,282786,3795549
2009,6,이준기,1635698,1108968,768096,282786,3795549
2009,7,이도현,2239945,757344,249696,307888,3554873
2009,7,이도현,2239945,757344,249696,307888,3554873
2009,8,김민재,1826450,1029588,424512,272327,3552878
2009,8,김민재,1826450,1029588,424512,272327,3552878
2009,9,황신혜,2007665,790272,151776,134137,3083850
2009,9,황신혜,2007665,790272,151776,134137,3083850
2009,10,문채원,1144711,948444,481248,209834,2784237
2009,10,문채원,1144711,948444,481248,209834,2784237
2009,11,조승우,989923,858480,572544,233629,2654576
2009,11,조승우,989923,858480,572544,233629,2654576
2009,12,주원,1194783,712924,515520,228857,2652084
2009,12,주원,1194783,712924,515520,228857,2652084
2009,13,진기주,1378779,909048,175392,165776,2628995
2009,13,진기주,1378779,909048,175392,165776,2628995
2009,14,하회라,1403021,690312,331488,152702,2577523
2009,14,하희라,1403021,690312,331488,152702,2577523
2009,15,옹성우,487809,605640,583200,872742,2549390
2009,15,옹성우,487809,605640,583200,872742,2549390
2009,16,신예은,927333,606816,183456,716706,2434311
2009,16,신예은,927333,606816,183456,716706,2434311
2009,17,전인화,1244657,878472,169056,140217,2432401
2009,17,전인화,1244657,878472,169056,140217,2432401
2009,18,변우석,726249,1006656,452448,206631,2391984
2009,18,변우석,726249,1006656,452448,206631,2391984
2009,19,이준혁,1036221,773220,248256,164665,2222361
2009,19,이준혁,1036221,773220,248256,164665,2222361
2009,20,곽시양,939255,919044,190944,102302,2151545
2009,20,곽시양,939255,919044,190944,102302,2151545
2009,21,윤상현,1070993,656796,215136,171332,2114257
2009,21,윤상현,1070993,656796,215136,171332,2114257
2009,22,이민정,892163,612696,243936,122175,1870970
2009,22,이민정,892163,612696,243936,122175,1870970
2009,23,박주현,874479,622692,120960,106355,1724486
2009,23,박주현,874479,622692,120960,106355,1724486
2009,24,신애라,540067,573300,306144,300044,1719554
2009,24,신애라,540067,573300,306144,300044,1719554
2009,25,오윤아,1088876,357504,160704,78312,1685396
2009,25,오윤아,1088876,357504,160704,78312,1685396
2009,26,이유리,532106,643860,340128,164050,1680143
2009,26,이유리,534106,643860,340128,162050,1680143
2009,27,이다인,858384,575064,160128,59943,1653519
2009,27,이다인,858384,575064,160128,59943,1653519
2009,28,이장우,530132,812028,154944,155121,1652224
2009,28,이장우,530132,812028,154944,155121,1652224
2009,29,배두나,359647,723828,370368,175189,1629032
2009,29,배두나,359647,723828,370368,175189,1629032
2009,30,박지현,700219,578004,194112,123482,1595817
2009,30,박지현,700219,578004,194112,123482,1595817
2009,31,임수향,453036,606228,334944,199768,1593976
2009,31,임수향,453036,606228,334944,199768,1593976
2009,32,장희진,612990,663264,200736,110997,1587986
2009,32,장희진,612990,663264,200736,110997,1587986
2009,33,이상엽,746913,573888,142272,91255,1554328
2009,33,이상엽,746913,573888,142272,91255,1554328
2009,34,최진혁,498141,733824,161280,139105,1532350
2009,34,최진혁,498141,733824,161280,139105,1532350
2009,35,연정훈,509864,522732,187488,134726,1354810
2009,35,연정훈,509864,522732,187488,134726,1354810
2009,36,고수,577224,494508,133056,107467,1312254
2009,36,고수,577224,494508,133056,107467,1312254
2009,37,하석진,318715,526848,247392,148649,1241604
2009,37,하석진,318715,526848,247392,148649,1241604
2009,38,김동준,251157,473340,97056,394959,1216512
2009,38,김동준,251157,473340,97056,394959,1216512
2009,39,려운,671805,348684,76032,55433,1151954
2009,39,려운,671805,348684,76032,55433,1151954
2009,40,이일화,602657,360444,110304,77462,1150867
2009,40,이일화,602657,360444,110304,77462,1150867
2009,41,이채영,236652,626808,101376,137275,1102111
2009,41,이재영,236652,626808,101376,137275,1102111
2009,42,강은탁,307985,617400,74304,97596,1097285
2009,42,강은탁,307985,617400,74304,97596,1097285
2009,43,김성철,361237,455112,173664,92366,1082379
2009,43,김성철,361237,455112,173664,92366,1082379
2009,44,보나,444691,422184,113760,95635,1076269
2009,44,보나,444691,422184,113760,95635,1076269
2009,45,안소미,562917,353976,76608,69749,1063250
2009,45,안소미,562917,353976,76608,69749,1063250
2009,46,이일화,602657,322812,49824,49877,1025170
2009,46,이일화,602657,322812,49824,49877,1025170
2009,47,엄현경,232876,576828,86400,127993,1024097
